"expo","outcome","mean","low95ci","up95ci"
"A09","E78",-0.03873,-0.04716,-0.03029
"A09","E83",0.04259,0.03703,0.04815
"A09","E86",0.08809,0.0809,0.09528
"A09","E87",0.09636,0.08819,0.10454
"A09","F05",0.02552,0.02132,0.02971
"A09","F10",0.00179,-0.00201,0.00559
"A09","F17",-0.00533,-0.01115,5e-04
"A09","F32",0.01791,0.0122,0.02361
"A09","F41",0.01559,0.01054,0.02064
"A09","G40",-0.00059,-0.00282,0.00163
"A09","G45",-0.00409,-0.00569,-0.00249
"A09","G47",-0.00243,-0.00573,0.00086
"A09","G55",-0.00476,-0.00679,-0.00273
"A09","G56",-0.00923,-0.0113,-0.00716
"A09","G81",0.00269,0.00023,0.00515
"A09","H02",-0.00609,-0.00824,-0.00394
"A09","H25",-0.01559,-0.01978,-0.0114
"A09","H26",-0.02361,-0.02805,-0.01918
"A09","H33",-0.00731,-0.00842,-0.0062
"A09","H35",-0.00576,-0.00824,-0.00328
"A09","H36",0.00116,-0.00061,0.00292
"A09","H40",-0.00633,-0.00934,-0.00333
"A09","H52",-0.00537,-0.00768,-0.00305
"A09","H53",0.00024,-0.00232,0.0028
"A09","H91",0.00301,-0.00046,0.00649
"A09","I08",0.00938,0.0059,0.01286
"A09","I10",-0.03197,-0.04559,-0.01834
"A09","I20",-0.01755,-0.0221,-0.013
"A09","I21",-0.0081,-0.01185,-0.00435
"A09","I24",-8e-05,-0.00235,0.00219
"A09","I25",-0.02213,-0.02887,-0.01538
"A09","I26",0.00959,0.00573,0.01345
"A09","I34",0.00421,0.00122,0.00721
"A09","I35",-0.00152,-0.00427,0.00123
"A09","I44",0.00517,0.00103,0.0093
"A09","I45",0.00111,-0.00186,0.00409
"A09","I47",0.00235,-0.00035,0.00505
"A09","I48",0.01038,0.00368,0.01709
"A09","I49",0.00212,-0.00092,0.00517
"A09","I50",0.01869,0.01355,0.02383
"A09","I51",0.0152,0.01007,0.02033
"A09","I63",-0.00241,-0.00535,0.00053
"A09","I67",0.00705,0.00355,0.01055
"A09","I70",0.00176,-0.00023,0.00375
"A09","I71",0.00035,-0.00211,0.0028
"A09","I73",0.00108,-0.00169,0.00385
"A09","I80",0.005,0.00183,0.00818
"A09","I83",-0.0054,-0.00737,-0.00343
"A09","I84",-0.00962,-0.01392,-0.00532
"A09","I95",0.06328,0.05654,0.07003
"A09","J18",0.07214,0.06433,0.07994
"A09","J22",0.02611,0.0208,0.03141
"A09","J33",-0.00491,-0.00587,-0.00394
"A09","J34",-0.0043,-0.00621,-0.00239
"A09","J43",0.00147,-0.00074,0.00368
"A09","J44",0.00024,-0.00397,0.00446
"A09","J45",-0.0155,-0.02074,-0.01027
"A09","J47",0.00243,-8e-05,0.00493
"A09","J90",0.04172,0.03565,0.04778
"A09","J96",0.02409,0.01966,0.02852
"A09","J98",0.03015,0.02481,0.03549
"A09","K02",-0.00212,-0.00403,-2e-04
"A09","K13",-0.00049,-0.00234,0.00136
"A09","K20",0.0018,-0.00185,0.00544
"A09","K21",0.00882,0.00165,0.01599
"A09","K22",-0.00151,-0.00576,0.00275
"A09","K25",0.00105,-0.00151,0.00361
"A09","K26",0.00361,0.00115,0.00606
"A09","K29",0.01103,0.00372,0.01833
"A09","K30",-0.00426,-0.00689,-0.00164
"A09","K31",0.00631,0.00208,0.01055
"A09","K40",-0.0284,-0.03325,-0.02354
"A09","K42",-0.00242,-0.00501,0.00018
"A09","K43",0.00292,0.00044,0.0054
"A09","K44",-0.00296,-0.00923,0.0033
"A09","K51",0.01283,0.00937,0.01629
"A09","K52",0.02245,0.01723,0.02767
"A09","K56",0.02487,0.02027,0.02947
"A09","K57",0.05699,0.04732,0.06665
"A09","K58",0.01323,0.00951,0.01696
"A09","K59",0.09255,0.08399,0.10111
"A09","K60",0.00168,-0.00049,0.00385
"A09","K62",0.02409,0.01696,0.03122
"A09","K63",0.04906,0.04077,0.05735
"A09","K64",0.04966,0.04264,0.05668
"A09","K66",0.00988,0.0062,0.01356
"A09","K76",0.0203,0.01558,0.02501
"A09","K80",0.01189,0.00736,0.01642
"A09","K92",0.0605,0.05286,0.06813
"A09","L02",-0.00082,-0.00249,0.00084
"A09","L03",0.00722,0.00333,0.01111
"A09","L30",0.0024,1e-05,0.00479
"A09","L40",0.0017,-0.00092,0.00432
"A09","L57",-0.00455,-0.00651,-0.00258
"A09","L72",-0.00699,-0.00869,-0.00529
"A09","L82",-0.00395,-0.00573,-0.00217
"A09","L89",0.02575,0.02187,0.02964
"A09","L98",0.0014,-0.00177,0.00457
"A09","M06",-0.00263,-0.00452,-0.00074
"A09","M10",5e-04,-0.00345,0.00445
"A09","M13",-0.00597,-0.01036,-0.00157
"A09","M15",-0.00413,-0.00637,-0.00189
"A09","M16",-0.01636,-0.01953,-0.01319
"A09","M17",-0.03359,-0.03746,-0.02972
"A09","M19",-0.00397,-0.00938,0.00143
"A09","M20",-0.00469,-0.00576,-0.00361
"A09","M23",-0.02143,-0.02354,-0.01931
"A09","M25",0.00147,-0.00293,0.00587
"A09","M47",-0.00023,-0.00381,0.00334
"A09","M48",-0.00077,-0.0038,0.00226
"A09","M51",-0.0044,-0.00728,-0.00152
"A09","M54",0.01371,0.00825,0.01918
"A09","M65",-0.00611,-0.00794,-0.00427
"A09","M72",-0.00924,-0.01112,-0.00735
"A09","M75",-0.01352,-0.0157,-0.01135
"A09","M79",0.00897,0.00419,0.01374
"A09","M81",0.00366,0.00099,0.00632
"A09","N13",0.00689,0.00352,0.01025
"A09","N17",0.11847,0.10973,0.12721
"A09","N18",0.02201,0.01669,0.02733
"A09","N20",-0.00071,-0.00359,0.00216
"A09","N28",0.00936,0.00593,0.01278
"A09","N32",-0.00886,-0.01244,-0.00529
"A09","N35",-0.00256,-0.00473,-4e-04
"A09","N39",0.03826,0.03178,0.04474
"A09","N40",-0.01504,-0.02139,-0.00869
"A09","N41",-0.00377,-0.00551,-0.00203
"A09","N42",-0.00269,-0.00434,-0.00104
"A09","N43",-0.00238,-0.00392,-0.00085
"A09","N47",-0.00121,-0.00332,9e-04
"A09","N48",-0.00082,-0.00324,0.00161
"A09","N50",-0.00183,-0.004,0.00035
"A09","U07",0.02161,0.01754,0.02569
"A41","A04",0.02514,0.01992,0.03035
"A41","A09",0.10196,0.09165,0.11226
"A41","B37",0.05208,0.04523,0.05893
"A41","B95",0.06868,0.0607,0.07665
"A41","B96",0.15303,0.14143,0.16463
"A41","C18",-0.00128,-0.00382,0.00125
"A41","C34",-0.00237,-0.00456,-0.00018
"A41","C44",-0.02859,-0.03232,-0.02485
"A41","C61",-0.01759,-0.02273,-0.01246
"A41","C67",-0.00365,-0.00566,-0.00164
"A41","C77",0.01861,0.01347,0.02375
"A41","C78",0.04605,0.03889,0.0532
"A41","C79",0.03988,0.03302,0.04675
"A41","D12",-0.04036,-0.0443,-0.03641
"A41","D17",-0.00816,-0.01031,-0.00602
"A41","D22",-0.00544,-0.00632,-0.00455
"A41","D23",-0.00432,-0.00512,-0.00352
"A41","D50",0.00995,0.00487,0.01503
"A41","D64",0.08424,0.07429,0.0942
"A41","D69",0.0528,0.046,0.0596
"A41","D70",1,0.97411,1.02589
"A41","E03",-0.00219,-0.0058,0.00142
"A41","E10",0.00266,2e-04,0.00512
"A41","E11",-0.01025,-0.01915,-0.00135
"A41","E14",-0.00178,-0.004,0.00043
"A41","E66",-0.00441,-0.0111,0.00229
"A41","E78",-0.06919,-0.07735,-0.06103
"A41","E83",0.06809,0.05991,0.07628
"A41","E86",0.09638,0.08802,0.10473
"A41","E87",0.20365,0.19079,0.21651
"A41","F05",0.0698,0.06314,0.07645
"A41","F10",-0.00142,-0.00596,0.00312
"A41","F17",-0.02141,-0.02749,-0.01534
"A41","F32",0.00169,-0.00355,0.00694
"A41","F41",0.00368,-0.00209,0.00945
"A41","G40",0.00171,-0.00147,0.00488
"A41","G45",-0.00586,-0.00715,-0.00457
"A41","G47",-0.00887,-0.01192,-0.00582
"A41","G55",0.00055,-0.00264,0.00374
"A41","G56",-0.01234,-0.01399,-0.0107
"A41","G81",0.01005,0.00645,0.01366
"A41","H02",-0.00744,-0.00978,-0.0051
"A41","H25",-0.02906,-0.03254,-0.02558
"A41","H26",-0.03596,-0.03984,-0.03209
"A41","H33",-0.00662,-0.00803,-0.00522
"A41","H35",-0.00997,-0.0121,-0.00783
"A41","H36",-0.00013,-0.00223,0.00198
"A41","H40",-0.01483,-0.01725,-0.01241
"A41","H52",-0.00968,-0.01154,-0.00783
"A41","H53",-0.00205,-0.00455,0.00044
"A41","H91",-0.00445,-0.00763,-0.00127
"A41","I08",0.01686,0.01213,0.02159
"A41","I10",-0.07218,-0.0882,-0.05617
"A41","I20",-0.03188,-0.03626,-0.0275
"A41","I21",-0.00873,-0.01281,-0.00464
"A41","I24",-1e-05,-0.00267,0.00264
"A41","I25",-0.03058,-0.03798,-0.02318
"A41","I26",0.02243,0.01699,0.02786
"A41","I34",0.00724,0.00309,0.01138
"A41","I35",0.00089,-0.00263,0.00442
"A41","I44",0.0036,-0.00102,0.00821
"A41","I45",0.00403,0.00059,0.00748
"A41","I47",0.00534,0.00186,0.00883
"A41","I48",0.04458,0.03549,0.05368
"A41","I49",0.00238,-0.00129,0.00606
"A41","I50",0.03978,0.03288,0.04669
"A41","I51",0.02109,0.01447,0.02772
"A41","I63",0.00612,0.00153,0.01071
"A41","I67",0.01658,0.01169,0.02146
"A41","I70",0.00266,0.00023,0.00509
"A41","I71",-0.00017,-0.00302,0.00269
"A41","I73",0.00057,-0.00284,0.00399
"A41","I80",0.01798,0.01308,0.02288
"A41","I83",-0.00655,-0.00862,-0.00447
"A41","I84",-0.03044,-0.03304,-0.02785
"A41","I95",0.12196,0.11166,0.13226
"A41","J18",0.20756,0.1946,0.22051
"A41","J22",0.0798,0.0709,0.08871
"A41","J33",-0.00598,-0.00642,-0.00554
"A41","J34",-0.00302,-0.00594,-1e-04
"A41","J43",0.00468,0.00186,0.00751
"A41","J44",-0.00295,-0.00764,0.00174
"A41","J45",-0.03136,-0.03633,-0.02638
"A41","J47",0.00858,0.00475,0.01242
"A41","J90",0.10969,0.09951,0.11988
"A41","J96",0.08041,0.07239,0.08843
"A41","J98",0.07858,0.06956,0.0876
"A41","K02",-0.00083,-0.0033,0.00163
"A41","K13",-0.00202,-0.00389,-0.00015
"A41","K20",-0.00532,-0.00897,-0.00167
"A41","K21",-0.02123,-0.02815,-0.01431
"A41","K22",-0.01214,-0.01596,-0.00832
"A41","K25",-0.00216,-0.00476,0.00045
"A41","K26",0.00186,-0.00065,0.00437
"A41","K29",-0.02535,-0.03195,-0.01875
"A41","K30",-0.01121,-0.01299,-0.00943
"A41","K31",-0.00621,-0.01,-0.00243
"A41","K40",-0.04265,-0.04665,-0.03866
"A41","K42",-0.00483,-0.00718,-0.00247
"A41","K43",0.00981,0.00588,0.01375
"A41","K44",-0.02988,-0.03519,-0.02456
"A41","K51",-0.00072,-0.00307,0.00162
"A41","K52",0.015,0.0091,0.02089
"A41","K56",0.03195,0.02625,0.03765
"A41","K57",-0.04574,-0.05275,-0.03872
"A41","K58",-0.00317,-0.00575,-0.00058
"A41","K59",0.08772,0.07805,0.09739
"A41","K60",0.00055,-0.00203,0.00312
"A41","K62",-0.02742,-0.03291,-0.02194
"A41","K63",-0.02273,-0.02883,-0.01664
"A41","K64",-0.00381,-0.00976,0.00213
"A41","K66",0.01466,0.01001,0.01931
"A41","K76",0.03137,0.02481,0.03793
"A41","K80",0.02968,0.02359,0.03578
"A41","K92",0.01796,0.01139,0.02453
"A41","L02",0.00438,0.00178,0.00699
"A41","L03",0.03751,0.03099,0.04404
"A41","L30",0.00135,-0.00163,0.00433
"A41","L40",0.00034,-0.00249,0.00317
"A41","L57",-0.00703,-0.00903,-0.00503
"A41","L72",-0.00828,-0.00984,-0.00672
"A41","L82",-0.00506,-0.00705,-0.00307
"A41","L89",0.05595,0.05002,0.06187
"A41","L98",0.00086,-0.00243,0.00414
"A41","M06",-0.00267,-0.00474,-6e-04
"A41","M10",-0.00518,-0.00896,-0.00141
"A41","M13",-0.01791,-0.02199,-0.01384
"A41","M15",-0.0074,-0.00951,-0.0053
"A41","M16",-0.02224,-0.0251,-0.01937
"A41","M17",-0.04408,-0.04723,-0.04093
"A41","M19",-0.01122,-0.01702,-0.00543
"A41","M20",-0.00428,-0.00599,-0.00257
"A41","M23",-0.02545,-0.02693,-0.02398
"A41","M25",0.01195,0.00569,0.0182
"A41","M47",-0.0052,-0.00873,-0.00167
"A41","M48",0.00201,-0.00164,0.00567
"A41","M51",-0.00094,-0.00494,0.00305
"A41","M54",0.01345,0.00662,0.02029
"A41","M65",-0.00776,-0.00962,-0.00591
"A41","M72",-0.0087,-0.01105,-0.00635
