"expo","outcome","mean","low95ci","up95ci"
"A41","E87",0.20167,0.18784,0.2155
"A41","F05",0.04975,0.04383,0.05567
"A41","F10",0.00056,-0.00216,0.00329
"A41","F17",-0.01399,-0.01918,-0.0088
"A41","F32",0.00075,-0.00708,0.00857
"A41","F41",0.00698,-0.00058,0.01454
"A41","G40",0.00306,-0.00019,0.00631
"A41","G43",-0.00249,-0.0065,0.00153
"A41","G47",-0.00149,-0.00419,0.0012
"A41","G55",-0.00573,-0.00838,-0.00308
"A41","G56",-0.01561,-0.0184,-0.01282
"A41","H02",-0.00685,-0.0093,-0.00441
"A41","H04",-0.00301,-0.00552,-0.00049
"A41","H25",-0.03543,-0.03972,-0.03114
"A41","H26",-0.03782,-0.04307,-0.03257
"A41","H35",-0.0089,-0.0124,-0.00541
"A41","H40",-0.01168,-0.01447,-0.00889
"A41","H52",-0.01074,-0.01342,-0.00805
"A41","H53",0.00495,0.00049,0.00942
"A41","H91",0.00348,-0.00107,0.00803
"A41","I08",0.01547,0.01102,0.01993
"A41","I10",-0.04143,-0.05516,-0.02769
"A41","I20",-0.01547,-0.01831,-0.01263
"A41","I21",0.00665,0.00298,0.01032
"A41","I25",-0.00249,-0.00806,0.00307
"A41","I26",0.03621,0.02934,0.04308
"A41","I34",0.00745,0.00345,0.01145
"A41","I35",0.00535,0.00172,0.00898
"A41","I44",0.00017,-0.00317,0.00352
"A41","I47",0.00614,0.00228,0.00999
"A41","I48",0.04462,0.03672,0.05252
"A41","I49",0.00099,-0.00236,0.00435
"A41","I50",0.04024,0.03392,0.04655
"A41","I51",0.02496,0.01939,0.03053
"A41","I63",0.00175,-0.00113,0.00463
"A41","I67",0.01257,0.00833,0.01681
"A41","I73",0.00489,0.00056,0.00923
"A41","I80",0.02089,0.01553,0.02625
"A41","I83",-0.00897,-0.01092,-0.00702
"A41","I84",-0.02368,-0.02726,-0.0201
"A41","I95",0.10737,0.09654,0.1182
"A41","J18",0.18571,0.17236,0.19906
"A41","J22",0.0832,0.07315,0.09325
"A41","J34",-0.00337,-0.00515,-0.00158
"A41","J44",0.00238,-0.00246,0.00723
"A41","J45",-0.03892,-0.04463,-0.0332
"A41","J47",0.00612,0.00231,0.00994
"A41","J90",0.12081,0.10947,0.13215
"A41","J96",0.06866,0.06043,0.07688
"A41","J98",0.0691,0.06001,0.07819
"A41","K02",-0.00301,-0.00469,-0.00133
"A41","K13",0.00425,0.00064,0.00786
"A41","K20",-0.00744,-0.01082,-0.00405
"A41","K21",-0.02107,-0.02946,-0.01269
"A41","K22",-0.00458,-0.00894,-0.00022
"A41","K25",-0.00517,-0.00733,-0.00301
"A41","K29",-0.0386,-0.04555,-0.03164
"A41","K30",-0.0126,-0.0167,-0.0085
"A41","K31",-0.00702,-0.01216,-0.00188
"A41","K43",0.00449,0.00118,0.00781
"A41","K44",-0.03867,-0.04493,-0.03242
"A41","K52",0.02264,0.01482,0.03046
"A41","K56",0.03721,0.02993,0.04448
"A41","K57",-0.04063,-0.04855,-0.03272
"A41","K58",-0.0106,-0.01461,-0.0066
"A41","K59",0.08834,0.07665,0.10004
"A41","K62",-0.02252,-0.02709,-0.01795
"A41","K63",-0.01243,-0.01866,-0.0062
"A41","K64",-0.00706,-0.01261,-0.0015
"A41","K66",0.0127,0.00731,0.01809
"A41","K76",0.02886,0.02203,0.03569
"A41","K80",0.01427,0.00742,0.02112
"A41","K81",0.00836,0.00489,0.01184
"A41","K83",0.03862,0.0321,0.04513
"A41","K92",0.01893,0.01202,0.02584
"A41","L03",0.0459,0.03836,0.05344
"A41","L57",-0.00414,-0.00644,-0.00184
"A41","L72",-0.00736,-0.009,-0.00573
"A41","L82",-0.00534,-0.0069,-0.00379
"A41","L90",0.00068,-0.0026,0.00397
"A41","L98",0.00461,0.00044,0.00879
"A41","M06",-0.00207,-0.00585,0.00171
"A41","M13",-0.02477,-0.03014,-0.01939
"A41","M15",-0.01302,-0.01574,-0.0103
"A41","M16",-0.02634,-0.03006,-0.02263
"A41","M17",-0.03573,-0.04036,-0.03109
"A41","M19",-0.01989,-0.02709,-0.01269
"A41","M20",-0.02213,-0.02463,-0.01963
"A41","M23",-0.01852,-0.02098,-0.01605
"A41","M25",0.01239,0.00507,0.01971
"A41","M35",-0.0043,-0.0069,-0.00171
"A41","M43",-0.00257,-0.00475,-0.00039
"A41","M47",-0.00835,-0.01309,-0.00361
"A41","M48",-0.00068,-0.00431,0.00296
"A41","M51",-0.00736,-0.01134,-0.00338
"A41","M54",0.01638,0.00825,0.02451
"A41","M65",-0.0088,-0.01104,-0.00657
"A41","M67",-0.00757,-0.00844,-0.0067
"A41","M75",-0.01501,-0.01757,-0.01245
"A41","M79",0.01836,0.01036,0.02636
"A41","M81",0.0018,-0.00469,0.00829
"A41","M85",0.0043,-0.00027,0.00887
"A41","N13",0.03745,0.03091,0.044
"A41","N17",0.20159,0.18875,0.21444
"A41","N18",0.02638,0.01972,0.03303
"A41","N20",0.00625,0.00304,0.00946
"A41","N28",0.01621,0.01161,0.02081
"A41","N30",0.00057,-0.00221,0.00335
"A41","N32",-0.00056,-0.00411,0.003
"A41","N39",0.15464,0.14128,0.168
"A41","N73",0.00502,0.00109,0.00894
"A41","N80",-0.00482,-0.00636,-0.00329
"A41","N81",-0.02515,-0.02876,-0.02154
"A41","N83",0.00032,-0.00365,0.00428
"A41","N84",-0.01592,-0.01921,-0.01262
"A41","N85",-0.00889,-0.01154,-0.00624
"A41","N88",-0.00259,-0.0045,-0.00067
"A41","N90",-0.00124,-0.00395,0.00147
"A41","N92",-0.01255,-0.01482,-0.01028
"A41","N93",0.00546,0.00198,0.00893
"A41","N94",-0.00084,-0.00293,0.00125
"A41","N95",-0.01318,-0.01711,-0.00926
"A41","O68",-0.00044,-0.00052,-0.00036
"A41","O70",-0.00041,-0.00048,-0.00033
"B37","A09",0.06698,0.05259,0.08138
"B37","A41",0.11691,0.10056,0.13325
"B37","B95",0.04586,0.03496,0.05677
"B37","B96",0.08166,0.06743,0.09589
"B37","C18",1e-05,-0.00409,0.00412
"B37","C34",0.00443,-0.00029,0.00916
"B37","C44",-0.01731,-0.02213,-0.0125
"B37","C50",-0.01739,-0.02555,-0.00922
"B37","C77",0.03218,0.021,0.04336
"B37","C78",0.05209,0.03916,0.06503
"B37","C79",0.04429,0.03367,0.05491
"B37","D05",-0.0075,-0.0083,-0.0067
"B37","D12",-0.01404,-0.02076,-0.00732
"B37","D17",-0.00457,-0.00774,-0.00141
"B37","D22",-0.00625,-0.0073,-0.00521
"B37","D23",-0.00333,-0.0054,-0.00127
"B37","D25",-0.00651,-0.0126,-0.00041
"B37","D50",0.02681,0.01617,0.03746
"B37","D64",0.05616,0.04272,0.06961
"B37","D70",0.06984,0.0554,0.08429
"B37","E03",-0.0258,-0.03542,-0.01619
"B37","E04",-0.00221,-0.00447,4e-05
"B37","E05",-0.00123,-0.00439,0.00193
"B37","E11",-0.00849,-0.01799,0.00101
"B37","E55",0.01315,0.00627,0.02003
"B37","E66",-0.00766,-0.01824,0.00291
"B37","E78",-0.02702,-0.03907,-0.01497
"B37","E83",0.0489,0.03863,0.05917
"B37","E86",0.0631,0.05169,0.07451
"B37","E87",0.11261,0.09661,0.12862
"B37","F05",0.02882,0.02133,0.03631
"B37","F10",0.00481,-0.00113,0.01074
"B37","F17",-0.00876,-0.01575,-0.00177
"B37","F32",0.00687,-0.00413,0.01787
"B37","F41",0.01728,0.00637,0.0282
"B37","G40",0.00535,-0.00013,0.01083
"B37","G43",0.00076,-0.00488,0.0064
"B37","G47",-0.00309,-0.00705,0.00088
"B37","G55",-0.00416,-0.00825,-7e-05
"B37","G56",-0.01185,-0.01678,-0.00691
"B37","H02",-0.00729,-0.01035,-0.00422
"B37","H04",-0.00074,-0.005,0.00353
"B37","H25",-0.02825,-0.03498,-0.02151
"B37","H26",-0.02994,-0.03799,-0.02189
"B37","H35",-0.0082,-0.01272,-0.00368
"B37","H40",-0.01239,-0.01659,-0.00818
"B37","H52",-0.00596,-0.0112,-0.00073
"B37","H53",0.00332,-0.00172,0.00835
"B37","H91",0.00778,0.00169,0.01387
"B37","I08",0.01137,0.00568,0.01706
"B37","I10",-0.03504,-0.05453,-0.01556
"B37","I20",-0.01046,-0.01581,-0.0051
"B37","I21",0.0036,-0.00134,0.00854
"B37","I25",-0.00424,-0.01174,0.00326
"B37","I26",0.02189,0.01362,0.03015
"B37","I34",0.00088,-0.00375,0.00551
"B37","I35",0.00047,-0.00251,0.00345
"B37","I44",-0.00017,-0.00452,0.00417
"B37","I47",6e-04,-0.00302,0.00422
"B37","I48",0.00819,-0.00035,0.01673
"B37","I49",0.00047,-0.00332,0.00427
"B37","I50",0.02163,0.01429,0.02897
"B37","I51",0.01641,0.00914,0.02367
"B37","I63",0.00155,-0.00268,0.00578
"B37","I67",0.01529,0.0087,0.02188
"B37","I73",0.00276,-0.00207,0.00758
"B37","I80",0.01506,0.00831,0.02181
"B37","I83",-0.0081,-0.01151,-0.00469
"B37","I84",-0.02251,-0.02752,-0.01749
"B37","I95",0.04999,0.0389,0.06109
"B37","J18",0.09695,0.08231,0.11159
"B37","J22",0.04357,0.03252,0.05462
"B37","J34",-0.00315,-0.00535,-0.00094
"B37","J44",0.00888,0.00164,0.01613
"B37","J45",-0.00217,-0.01452,0.01019
"B37","J47",0.00604,0.00144,0.01063
"B37","J90",0.08383,0.06955,0.09811
"B37","J96",0.03678,0.02865,0.04491
"B37","J98",0.06098,0.04884,0.07312
"B37","K02",-0.00143,-0.00484,0.00198
"B37","K13",0.0126,0.00569,0.0195
"B37","K20",0.08064,0.06733,0.09396
"B37","K21",0.03224,0.01712,0.04737
"B37","K22",0.03828,0.02771,0.04885
"B37","K25",0.0073,0.00183,0.01276
"B37","K29",0.0937,0.07556,0.11184
"B37","K30",-0.00716,-0.0129,-0.00142
"B37","K31",0.04709,0.03545,0.05873
"B37","K43",0.00319,-0.00148,0.00786
"B37","K44",0.03019,0.01609,0.04429
"B37","K52",0.00839,-0.00014,0.01692
"B37","K56",0.02468,0.01629,0.03307
"B37","K57",-0.02528,-0.03733,-0.01324
"B37","K58",-0.00209,-0.00893,0.00475
"B37","K59",0.07875,0.06417,0.09334
"B37","K62",-0.01891,-0.0259,-0.01191
"B37","K63",-0.00972,-0.0182,-0.00123
"B37","K64",0.00202,-0.00639,0.01043
"B37","K66",0.00816,0.00124,0.01508
"B37","K76",0.01848,0.01035,0.02661
"B37","K80",-0.00251,-0.0108,0.00577
"B37","K81",6e-04,-0.00257,0.00376
"B37","K83",0.01379,0.00745,0.02012
"B37","K92",0.01318,0.00379,0.02257
"B37","L03",0.02437,0.01585,0.03288
"B37","L57",-0.00563,-0.00765,-0.0036
"B37","L72",-0.00755,-0.00991,-0.00518
"B37","L82",-0.00449,-0.00673,-0.00225
"B37","L90",-0.00342,-0.00572,-0.00113
"B37","L98",4e-04,-0.00475,0.00556
"B37","M06",-0.00125,-0.00624,0.00373
"B37","M13",-0.01614,-0.02497,-0.00732
"B37","M15",-0.00864,-0.01362,-0.00367
"B37","M16",-0.01971,-0.02585,-0.01356
"B37","M17",-0.03514,-0.04167,-0.0286
"B37","M19",-0.00665,-0.01765,0.00436
"B37","M20",-0.01729,-0.02162,-0.01296
"B37","M23",-0.01843,-0.02151,-0.01535
"B37","M25",0.00466,-0.00455,0.01387
"B37","M35",-0.00031,-0.00462,0.00401
"B37","M43",-0.00206,-0.00504,0.00092
"B37","M47",-0.0073,-0.01447,-0.00013
"B37","M48",-0.00518,-0.00954,-0.00081
"B37","M51",-0.00728,-0.01279,-0.00178
"B37","M54",0.00205,-0.00735,0.01145
"B37","M65",-0.0073,-0.01039,-0.00422
"B37","M67",-0.00696,-0.00844,-0.00548
"B37","M75",-0.01138,-0.01577,-0.00698
"B37","M79",0.00356,-0.00571,0.01282
"B37","M81",-0.00178,-0.00995,0.0064
